entry_date,expiry_date,spot_entry,spot_expiry,signal,direction,K1,K2,sigma_used,entry_cost,expiry_value,pnl,pnl_pct,max_profit,max_loss,win,cumulative_pnl,equity
2004-02-06,2004-03-08,1.27,1.24261,-1.0,bear_put,1.2573,1.27,0.1478,0.005607,0.0127,0.007093,1.2649,0.007093,0.005607,True,0.007093,181.51550213659448
2004-02-11,2004-03-11,1.28301,1.2351,-1.0,bear_put,1.27018,1.28301,0.1474,0.005663,0.01283,0.007167,1.2657,0.007167,0.005663,True,0.01426,263.88144092314076
2004-02-20,2004-03-22,1.2542,1.2346,1.0,bull_call,1.24166,1.26674,0.1332,0.012865,0.0,-0.012865,-1.0,0.012219,0.012865,False,0.0013950000000000004,116.03188009030725
2004-02-25,2004-03-25,1.2497,1.2137,1.0,bull_call,1.23721,1.2622,0.1313,0.01283,0.0,-0.01283,-1.0,0.012164,0.01283,False,-0.011434999999999999,-31.415447191873398
2004-02-26,2004-03-26,1.2448,1.21269,1.0,bull_call,1.23235,1.25725,0.1204,0.012843,0.0,-0.012843,-1.0,0.012053,0.012843,False,-0.024278,-179.0121755071537
2004-03-02,2004-03-31,1.22041,1.2313,1.0,bull_call,1.2082,1.23261,0.1379,0.012494,0.023099,0.010604,0.8487,0.011914,0.012494,True,-0.013674,-57.14690204649557
2004-03-03,2004-04-01,1.2191,1.23651,1.0,bull_call,1.2069,1.23129,0.134,0.012501,0.024382,0.011881,0.9504,0.011881,0.012501,True,-0.0017930000000000012,79.39414981941152
2004-03-24,2004-04-22,1.2139,1.19251,1.0,bull_call,1.20176,1.22604,0.1454,0.012392,0.0,-0.012392,-1.0,0.011886,0.012392,False,-0.014185000000000001,-63.01951188602749
2004-04-05,2004-05-04,1.2013,1.21051,1.0,bull_call,1.18929,1.21332,0.1383,0.012297,0.021218,0.008921,0.7255,0.011729,0.012297,True,-0.005264000000000001,39.50407398180833
2004-04-20,2004-05-19,1.18481,1.20039,1.0,bull_call,1.17296,1.19665,0.1266,0.012188,0.023696,0.011508,0.9442,0.011508,0.012188,True,0.006243999999999998,171.75846543647197
2004-04-21,2004-05-20,1.181,1.1957,1.0,bull_call,1.16919,1.19281,0.1265,0.01215,0.02362,0.01147,0.9441,0.01147,0.01215,True,0.017713999999999997,303.5761461789983
2004-05-04,2004-06-02,1.21051,1.2219,-1.0,bear_put,1.1984,1.21051,0.1133,0.005082,0.0,-0.005082,-1.0,0.007023,0.005082,False,0.012631999999999997,245.17183462420152
2004-05-05,2004-06-03,1.21589,1.22211,-1.0,bear_put,1.20374,1.21589,0.1091,0.005063,0.0,-0.005063,-1.0,0.007096,0.005063,False,0.007568999999999998,186.98587842547352
2004-05-25,2004-06-23,1.2101,1.20861,-1.0,bear_put,1.198,1.2101,0.1225,0.005164,0.001492,-0.003672,-0.7111,0.006937,0.005164,False,0.0038969999999999977,144.7858327684067
2004-05-27,2004-06-25,1.2276,1.2203,-1.0,bear_put,1.21532,1.2276,0.1255,0.005263,0.007295,0.002032,0.3861,0.007013,0.005263,True,0.005928999999999998,168.13836348059615
2004-06-09,2004-07-08,1.2043,1.2395,1.0,bull_call,1.19225,1.21634,0.1151,0.012458,0.024086,0.011628,0.9334,0.011628,0.012458,True,0.017556999999999996,301.7718413946411
2004-06-11,2004-07-12,1.2015,1.2408,1.0,bull_call,1.18949,1.21352,0.1155,0.012426,0.02403,0.011604,0.9338,0.011604,0.012426,True,0.029160999999999996,435.1295020168098
2004-07-02,2004-08-02,1.2311,1.2022,-1.0,bear_put,1.21879,1.2311,0.1197,0.005229,0.012311,0.007082,1.3546,0.007082,0.005229,True,0.036243,516.5185878946277
2004-07-05,2004-08-03,1.23,1.2053,-1.0,bear_put,1.2177,1.23,0.1188,0.005216,0.0123,0.007084,1.358,0.007084,0.005216,True,0.043327,597.9306585467685
2004-07-07,2004-08-05,1.2371,1.2052,-1.0,bear_put,1.22473,1.2371,0.1195,0.005253,0.012371,0.007118,1.3552,0.007118,0.005253,True,0.050445,679.7334703624008
2004-07-08,2004-08-06,1.2395,1.2308,-1.0,bear_put,1.2271,1.2395,0.0994,0.005051,0.008696,0.003645,0.7217,0.007344,0.005051,True,0.05409,721.6232215661068
2004-07-16,2004-08-16,1.24559,1.2359,-1.0,bear_put,1.23314,1.24559,0.0826,0.004826,0.009699,0.004873,1.0097,0.00763,0.004826,True,0.058963,777.6256242041479
2004-07-21,2004-08-19,1.2263,1.2372,1.0,bull_call,1.21404,1.23856,0.0878,0.012905,0.023156,0.010251,0.7944,0.011621,0.012905,True,0.069214,895.4340849967928
2004-07-22,2004-08-20,1.2256,1.23219,1.0,bull_call,1.21334,1.23785,0.0869,0.012906,0.018855,0.00595,0.461,0.011606,0.012906,True,0.075164,963.8137886077806
2004-07-23,2004-08-23,1.2096,1.2152,1.0,bull_call,1.1975,1.2217,0.0956,0.012658,0.017696,0.005039,0.3981,0.011534,0.012658,True,0.080203,1021.7239275146325
2004-07-27,2004-08-25,1.2064,1.20861,1.0,bull_call,1.19434,1.21847,0.0982,0.012602,0.014266,0.001664,0.132,0.011526,0.012602,True,0.081867,1040.847259751386
2004-08-06,2004-09-06,1.2308,1.20659,-1.0,bear_put,1.21849,1.2308,0.1078,0.005111,0.012308,0.007197,1.408,0.007197,0.005111,True,0.08906399999999999,1123.5579701527777
2004-08-09,2004-09-07,1.2273,1.20991,-1.0,bear_put,1.21502,1.2273,0.1078,0.005097,0.012273,0.007176,1.4079,0.007176,0.005097,True,0.09623999999999999,1206.0273404237773
2004-08-13,2004-09-13,1.23759,1.22641,-1.0,bear_put,1.22522,1.23759,0.1125,0.005189,0.011186,0.005997,1.1558,0.007187,0.005189,True,0.102237,1274.9471862313565
2004-08-23,2004-09-21,1.2152,1.23289,1.0,bull_call,1.20305,1.22735,0.1051,0.01264,0.024304,0.011664,0.9228,0.011664,0.01264,True,0.113901,1408.9943900832156
2004-08-24,2004-09-22,1.2082,1.22669,1.0,bull_call,1.19611,1.22028,0.1064,0.012558,0.024164,0.011606,0.9242,0.011606,0.012558,True,0.125507,1542.3750354797075
2004-08-25,2004-09-23,1.20861,1.2272,1.0,bull_call,1.19652,1.22069,0.1041,0.012579,0.024172,0.011593,0.9217,0.011593,0.012579,True,0.1371,1675.6062798430994
2004-09-09,2004-10-08,1.2242,1.241,-1.0,bear_put,1.21196,1.2242,0.0953,0.004935,0.0,-0.004935,-1.0,0.007307,0.004935,False,0.132165,1618.891349201045
2004-09-10,2004-10-11,1.2273,1.23841,-1.0,bear_put,1.21502,1.2273,0.0956,0.004952,0.0,-0.004952,-1.0,0.007321,0.004952,False,0.127213,1561.9810479772443
2004-09-21,2004-10-20,1.23289,1.25789,-1.0,bear_put,1.22056,1.23289,0.088,0.004866,0.0,-0.004866,-1.0,0.007463,0.004866,False,0.122347,1506.059092049334
