date,portfolio_returns,portfolio_costs,portfolio_net,equity,ret_EURUSD,ret_USDJPY,ret_GBPUSD,ret_AUDUSD
2004-01-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-01-02,0.0,0.0,0.0,100.0,0.0,-0.0,0.0,0.0
2004-01-05,0.0,0.0,0.0,100.0,0.0,-0.0,0.0,0.0
2004-01-06,0.0,0.0,0.0,100.0,0.0,-0.0,0.0,0.0
2004-01-07,0.0,0.0,0.0,100.0,-0.0,-0.0,-0.0,0.0
2004-01-08,0.0,0.0,0.0,100.0,0.0,-0.0,0.0,0.0
2004-01-09,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-01-12,0.0,0.0,0.0,100.0,-0.0,0.0,-0.0,0.0
2004-01-13,0.0,0.0,0.0,100.0,0.0,-0.0,0.0,0.0
2004-01-14,0.0,0.0,0.0,100.0,-0.0,0.0,-0.0,0.0
2004-01-15,0.0,0.0,0.0,100.0,-0.0,0.0,-0.0,0.0
2004-01-16,0.0,0.0,0.0,100.0,-0.0,0.0,-0.0,0.0
2004-01-19,-0.0009113996889295899,0.0,-0.0009113996889295899,99.90886003110704,-0.0036455987557183597,0.0,-0.0,0.0
2004-01-20,0.0047555118073386304,0.0,0.0047555118073386304,100.3839777946427,0.019022047229354522,-0.0,0.0,0.0
2004-01-21,-2.5e-05,0.0,-2.5e-05,100.38146819519783,-0.0001,-0.0,0.0,0.0
2004-01-22,0.0,0.0,0.0,100.38146819519783,0.0,-0.0,0.0,0.0
2004-01-23,0.0,0.0,0.0,100.38146819519783,-0.0,0.0,-0.0,0.0
2004-01-26,0.0,0.0,0.0,100.38146819519783,-0.0,-0.0,-0.0,0.0
2004-01-27,0.0,0.0,0.0,100.38146819519783,0.0,-0.0,0.0,0.0
2004-01-28,0.0,0.0,0.0,100.38146819519783,-0.0,0.0,-0.0,0.0
2004-01-29,0.0,0.0,0.0,100.38146819519783,-0.0,-0.0,0.0,0.0
2004-01-30,0.0,0.0,0.0,100.38146819519783,0.0,-0.0,0.0,0.0
